index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
951,"In a movie theater, friends are choosing which movie to watch, and there are 20 movies to choose from. Ming tells Xiao Hong, ""I think most of the movies are action movies, some are sci-fi, but there are hardly any horror movies."" Xiao Hong checks the list of movies and finds that there are only 5 science fiction movies.","Before Xiao Hong checks the movie list, how many action films does she guess?","Before Xiao Hong checks the movie list, she guesses there are 12 action films","Before Xiao Hong checks the movie list, she guesses there are 15 action films","Before Xiao Hong checks the movie list, she guesses there are 19 action films","Before Xiao Hong checks the movie list, she guesses there are 11 action films",A,Scalar Implicature Test
952,"Youyou and Li Lei are wandering in the classroom, they see a drawer and a basket, they find a button in the drawer, Li Lei leaves the classroom, Youyou moves the button to the basket.",Where does Youyou look for the button after Li Lei returns to the classroom?,Drawer,Basket,Locker,Cabinet,B,False Belief Task
953,"Xiao Li plans a surprise date for the weekend. On Friday night, Xiao Li and Xiao Qiang chat on the phone. Xiao Li says, ""I have a plan for the weekend, let's go together."" Xiao Qiang says, ""Oh, I might go out with my friends this weekend, we plan a basketball game."" Xiao Li is silent for a while, then says, ""It sounds like you are very busy.""",Does Xiao Qiang know that Xiao Li plans a surprise date for him?,Knows,Does not know,,,B,Faux-pas Recognition Test
954,"Xiao Li and Zhang Wei are wandering in the storage room, they see boxes and safes, they find zucchini in the box, Zhang Wei leaves the storage room, Xiao Li moves the zucchini to the safe.","After Zhang Wei returns to the storage room, where does Zhang Wei look for the zucchini?",Box,Handbag,Safe,Basket,A,False Belief Task
955,"Xiao Ming plays frisbee in the park. When the weather turns cold, he hurries home. Xiao Ming forgets that he brings the frisbee home. At dinner, his father asks Xiao Ming, ""Where is your frisbee?"" Xiao Ming replies, ""It is in my room.""",Why does Xiao Ming say this?,Xiao Ming deliberately lies because he does not want to be reprimanded.,Xiao Ming rushes home and forgets that he does not bring the frisbee home.,"Xiao Ming deliberately lies, worrying that Dad blames him for losing the frisbee.","Xiao Ming thinks the frisbee is in the room, but it is actually in the car.",B,Strange Story Task
956,"Xiao Yang and Xiao Bai are members of the class activity planning group, they are discussing the class holiday activities. Xiao Chen is an active member of the class, but never participates in activity planning. Xiao Bai suddenly points at Xiao Chen who is telling jokes in the distance, making a group of people laugh, and winks at Xiao Yang. Then, Xiao Bai winks at Xiao Yang, and both of them laugh.",What does Xiao Yang prepare to do?,Xiao Yang invites Xiao Chen to participate in the planning of class holiday activities.,Invites Xiao Chen to share more jokes with other classmates.,Xiao Yang plans with Xiao Bai to turn the holiday activity into a joke competition.,Xiao Yang finds a quiet place to continue discussing the activity plan with Xiao Bai.,A,Prediction of actions
957,"Emma coughs. During the whole lunchtime, she keeps coughing. Dad says, ""Poor Emma, you must have a frog in your throat!",Why does Dad say this?,"He thinks Emma's cough sounds like a frog's call, trying to make his daughter laugh and feel better.",He is sure there is a real frog in Emma's throat,He thinks coughing attracts a frog into the throat,He wants to scare Emma to stop her from coughing,A,Strange Story Task
958,"Xiao Yu is a girl who just starts junior high school. She really wants to participate in the summer camp activity organized by the school. This is a one-week outdoor adventure and team building activity. She looks forward to this activity, thinking it is a great opportunity to make new friends and experience new things. However, her father, Mr. Li, worries about this activity. As a cautious father, he worries about the safety of outdoor activities and how his daughter interacts with strangers. He knows this activity is significant for his daughter, but his anxiety and concern for his daughter's safety make him hesitate. Xiao Yu does not fully understand her father's concerns, she just harbors a longing for the summer camp.","Facing Xiao Yu's desire to participate in the summer camp, what attitude does Mr. Li most likely take?","He hesitates, suggesting Xiao Yu waits until next year to consider participating","He lets Xiao Yu decide whether to participate, to cultivate her independence","He agrees to let Xiao Yu participate, requiring her to video call anytime, anywhere, to report the activity situation","Although he worries, he eventually agrees to let Xiao Yu participate, while providing safety guidance",D,Discrepant desires
959,"Wang Qiang, Li Ming, and Zhao Min all work in the same company. Recently, there is a division of opinions within the office due to a new policy. Li Ming and Zhao Min are the representatives of these two factions, while Wang Qiang is a regular staff member. One day, the company holds an informal gathering, Wang Qiang hears Li Ming discussing the benefits of the new policy, while Zhao Min emphasizes its negative impacts on the other side. At the end of the party, Wang Qiang walks past Zhao Min's table, they make eye contact for a moment, Wang Qiang gives Zhao Min a slight smile, then turns and walks towards Li Ming. Wang Qiang and Li Ming clink glasses, but his eyes seem to be searching the crowd around.",What does Zhao Min possibly think after seeing Wang Qiang's behavior?,Zhao Min possibly thinks that Wang Qiang supports Li Ming's position.,Zhao Min possibly thinks that Wang Qiang does not dare to express his real opinion in public.,Zhao Min possibly thinks that Wang Qiang clinks glasses with Li Ming just out of politeness.,"Zhao Min possibly feels contempt, thinking that Wang Qiang is two-faced.",D,Ambiguous Story Task
960,"Zhang Wei works at an internet company and is also a community volunteer. He participates in the community park greening project. After the project completes, community residents all praise his efforts and contributions.",How does Zhang Wei react after the project completes?,Sadness,Proud,Disappointed,Regretful,B,Unexpected Outcome Test
961,Xiao Li's boyfriend invites Xiao Li's best friend Xiao Fang to watch a romantic movie.,What kind of emotion does Xiao Fang have?,Angry,Happy,Sadness,Embarrassed,D,Discrepant emotions
962,"Xiao Bei finds a handbag in the parking lot, the label on the handbag is banana, Xiao Bei cannot see what is inside the handbag, Xiao Bei opens the handbag and finds a mask, there is no banana in the handbag, Xiao Bei closes the handbag and puts it back in its place, Xiao Li enters the parking lot and sees the handbag.",What should be inside the handbag?,Mask,Banana,Durian,Finger gloves wool sweater,B,False Belief Task
963,"Xiao Hong wants to change to a bigger office, but that office is occupied by her colleague Xiao Li.",How does Xiao Hong persuade Xiao Li?,"She proposes to exchange some convenient conditions with Xiao Li, such as better parking spaces or office supplies.",She explains to Xiao Li that a bigger office allows Xiao Hong to work more efficiently.,She proposes to first carry out an experimental exchange to see if it is beneficial to both parties.,She uses data and facts to explain why a bigger office is more necessary for Xiao Hong.,A,Persuasion Story Task
964,"Xiao Ming and Xiao Li are hanging out in the garage, they see a suitcase, a vending machine, and a handbag, they find a hat in the suitcase, Xiao Li leaves the garage, Xiao Ming moves the hat to the handbag.","After Xiao Li returns to the garage, where does Xiao Ming think Xiao Li looks for the hat?",Handbag,Vending machine,Storage locker,Suitcase,D,False Belief Task
